"pseudo_id","ahvnr","firstname","surname","birthday","strasse","hausnr","plz","wohnort","created"
"44d3cd56785c6efcb833e29ddbe12f149b713fc416220376c9fbf5df1c245eac","756E12","Aaron","Ackermann","1995-08-29","Ackerstrasse","11",NA,"ZÃ¼rich","2023-01-30 17:43:19 CET"
"44d3cd56785c6efcb833e29ddbe12f149b713fc416220376c9fbf5df1c245eac","756E12","Berta","Brunner","1961-11-24","Bertastrasse","22","88020","Kilchberg ZH","2023-01-30 17:43:19 CET"
"44d3cd56785c6efcb833e29ddbe12f149b713fc416220376c9fbf5df1c245eac","756E12","Claudio","Christen","1960-12-26","Clausiensteig","3c","830200","Kloten","2023-01-30 17:43:19 CET"
"c458d465dc60920ed5caaf9d34d5f0e89a3fb8717f896b2ea4484d1facf770f4","756AB00000004","Elsa","Eris",NA,"Erismannstrasse","505","200800",NA,"2023-01-30 17:43:19 CET"
"95daffcadf18a6d37fd197e7a0239de5b88f26771afc872a1029b4bdabc548ed","7560000000004","Dario","Dachs","1970-02-16","Dammweg","4","9.00E+22",NA,"2023-01-30 17:43:19 CET"
"538c0b9bc34de9dd7873eb2c1bec98a1b425311eae40fc4980a8ac3956cca8fb","7230000CSV","Fiona","Fichter",NA,"Piccadilly Circus","6 f","EH1 5200","London","2023-01-30 17:43:19 CET"
"ea2f9a2d87decff623145bbab0436cc0c1d7a19d0d3276df11682990f9195185","HEAD",NA,NA,NA,NA,NA,NA,NA,"2023-01-30 15:32:23 CET"
"b1ab2ece71ed19dc94a27bffe2fc00479ac6abc56cbd45ab96b66199c6792c57","f04d73ab4457384941a00d3600beab0da1c1a211",NA,NA,NA,NA,NA,NA,NA,"2023-01-30 15:32:23 CET"
"95daffcadf18a6d37fd197e7a0239de5b88f26771afc872a1029b4bdabc548ed","7560000000004","Dario","Dachs",NA,"Dammweg","4","9.00E+22",NA,"2023-01-30 15:32:23 CET"
"d4cf8afd53cdaa70f5b1ef4f7624d5fd529157b439c24aaf78f7695d47a30b30","7560000000003","Claudio","Christen",NA,"Clausiensteig","3c","830200","Kloten","2023-01-30 15:32:23 CET"
"785e14d0c8253c031ebccb052fcfbc8ab8ac350d5796c0742a6607df661d56e7","7560000000002","Berta","Brunner",NA,"Bertastrasse","22","880200","Kilchberg ZH","2023-01-30 15:32:23 CET"
"6703a61b29479e478d72625134e7527f53161a3e8e4816bf7801e0dc45c58fce","7560000000001","Aaron","Ackermann",NA,"Ackerstrasse","11","804500","ZÃ¼rich","2023-01-30 15:32:23 CET"
"f9f49152505a567218890623623560410cfa8b66816bcf5e173646d3eefac288","",NA,NA,NA,NA,NA,NA,NA,"2023-01-30 15:32:23 CET"
"785e14d0c8253c031ebccb052fcfbc8ab8ac350d5796c0742a6607df661d56e7","7560000000002","Berta","Brunner","1961-11-24","Bertastrasse","22","880200","Kilchberg ZH","2023-01-18 11:11:18 CET"
"6703a61b29479e478d72625134e7527f53161a3e8e4816bf7801e0dc45c58fce","7560000000001","Aaron","Ackermann","1995-08-29","Ackerstrasse","11","804500","ZÃ¼rich","2023-01-18 11:11:18 CET"
"e85faf826a514bea765a01ba27e0957d9d14748ee8a0f73fc47a97ee66693253","7560000000005","Erich","Egli","1990-02-16","Eichenweg","33","813500","Langnau","2023-01-17 18:46:37 CET"
"95daffcadf18a6d37fd197e7a0239de5b88f26771afc872a1029b4bdabc548ed","7560000000004","Denise","Da Silva","1982-11-01","Denzingsteig","22","813503","Sihlwald","2023-01-17 18:46:37 CET"
"a8d26c32f76a92a5ef8623cd143c1f0364ef090eef718942558139133cacdd91","7560000000006","Ferdi","Freud-Fichter","1977-03-09","Fichtenhalde","300","852502","Wilen b. Neunforn","2023-01-17 18:25:22 CET"
